100000 99999
1 27367 34
2 71475 66
3 79416 57
3 65293 22
4 64951 85
4 29113 68
6 81288 73
8 34331 87
8 83737 26
8 71538 82
11 48028 70
11 52362 29
11 67552 70
13 93874 34
13 57279 16
13 63906 82
14 13528 81
16 3772 15
16 11278 81
18 75640 9
20 77452 11
22 49050 88
22 69189 88
23 73193 33
24 52663 79
25 39558 76
25 53846 97
27 2895 62
27 75005 81
28 23302 34
31 36931 83
31 58990 69
31 84507 65
32 48671 29
33 22460 18
34 38493 65
34 97676 46
35 51550 45
35 61288 71
35 84052 76
36 59299 23
37 1806 55
37 84265 35
39 59288 9
39 99902 69
40 6641 81
41 25533 12
42 20364 73
42 28497 2
43 89350 59
46 48517 47
46 50346 87
48 44049 97
48 51243 54
49 46212 40
49 68463 100
52 79552 33
52 98509 10
53 33977 94
54 49519 65
54 81032 13
55 38272 4
55 48259 92
56 57847 89
57 119 52
61 48119 83
61 93825 80
62 10259 18
62 6636 29
65 44331 1
68 65013 96
69 20896 76
70 35339 46
71 72191 54
72 4262 70
73 13262 74
74 30008 9
75 39787 34
76 55400 81
76 6687 76
76 98212 33
80 54289 23
80 21500 100
80 22176 38
81 48755 23
82 51483 3
83 74417 30
84 79727 11
85 89254 3
87 13058 99
88 7658 56
88 48353 99
89 27163 7
89 41705 79
89 54238 98
89 50858 78
89 60432 97
89 79251 69
90 98407 97
93 63886 88
94 30843 34
94 82894 85
94 62696 64
95 59108 59
95 62814 9
99 42193 57
100 55720 99
102 8387 25
102 66138 96
103 1895 92
107 44336 87
108 40059 89
108 29594 30
111 19696 87
112 1955 62
113 40 65
113 41511 15
120 15453 10
120 9292 22
120 48782 50
121 60824 33
122 18762 55
123 69632 48
124 55138 46
124 29659 56
125 59830 49
128 4965 26
128 13617 11
131 78263 98
133 72140 57
134 92631 97
134 56541 61
135 96945 32
135 39960 28
135 57377 79
136 87021 66
137 91328 67
137 16439 34
138 45690 77
139 58151 30
139 65152 24
142 8173 83
142 96527 27
145 27406 75
145 24014 8
149 76022 90
149 63687 77
149 90774 20
153 90608 90
153 19970 41
155 40906 94
157 72591 33
158 95491 37
159 14332 48
159 39919 43
160 79049 80
160 12235 60
161 16194 11
162 43937 42
162 78795 65
162 44403 26
163 47338 44
164 69447 42
165 95260 30
167 70604 53
169 57355 86
170 62439 24
170 22202 97
170 88442 89
171 62191 75
172 86370 12
174 38555 45
175 6941 84
175 25565 48
176 39227 13
177 43682 3
177 94932 10
178 79971 28
180 12610 8
180 96112 38
181 4709 75
182 66884 100
183 7685 100
184 15664 67
185 87285 93
189 6333 52
190 64025 97
192 6879 70
194 1270 56
195 55814 77
195 59482 68
196 67154 34
201 74320 91
201 95878 40
202 42755 20
202 58485 57
204 22409 89
205 33678 54
206 14824 98
209 24364 27
210 59733 64
210 94793 15
211 22126 8
211 34165 37
211 39945 92
211 10970 61
212 77598 98
212 78330 5
213 44913 96
213 9828 51
215 99521 33
216 37108 63
216 44860 60
217 64081 92
219 31457 70
221 36996 5
221 67400 4
222 91229 92
223 45457 7
223 70579 38
223 17224 1
224 3068 17
227 18578 76
228 47089 43
228 37700 69
229 63427 34
229 79212 21
231 33641 17
231 69985 57
231 99553 7
236 63484 35
236 88508 38
236 99342 29
237 42550 79
243 53399 51
243 65194 76
244 47937 14
244 23599 69
244 29536 97
245 9707 84
247 59978 73
247 68847 16
247 67762 22
249 96862 46
249 15615 40
250 1679 44
252 45411 65
252 23876 30
253 21393 82
254 49521 26
255 85797 91
255 95665 16
256 78925 67
256 66829 98
257 79004 5
258 60232 22
258 84111 24
258 22438 14
260 30453 90
260 98526 35
263 93284 4
266 21266 50
266 83048 42
270 79102 74
271 26627 44
271 87597 16
271 97853 22
272 27960 36
272 67283 17
277 62294 31
279 12473 96
279 51378 61
279 88507 50
282 78317 96
282 17366 27
283 91098 75
285 5266 1
285 74294 68
287 65759 14
287 80165 57
288 78406 78
288 53492 3
288 72553 25
289 88290 27
289 52104 12
290 42270 37
291 27602 36
291 76477 53
294 5277 85
296 40168 89
298 44297 13
299 83127 34
299 85026 29
299 16298 84
302 46912 76
303 99716 33
304 68395 68
306 41439 27
309 15288 57
309 95757 71
310 33704 62
311 68893 77
311 7764 79
312 32118 4
313 46631 93
314 32805 55
314 90210 53
315 47163 86
316 1701 3
319 26588 12
320 10751 26
321 10801 19
322 9703 16
322 30940 82
325 23450 20
331 68725 30
331 52621 17
332 48911 70
337 15945 9
337 79563 25
338 20198 74
339 63404 59
342 98883 12
343 13429 9
343 70982 99
345 12196 76
345 59366 88
346 56835 84
346 86561 91
346 28408 9
346 79894 16
350 66621 30
351 16894 13
351 4695 21
352 93907 49
354 43196 49
355 18110 58
355 45287 20
355 69007 54
356 1603 43
356 72546 62
356 78726 47
356 78733 84
356 37814 77
356 84378 69
356 27835 98
359 34606 20
360 19417 35
360 46843 29
362 32884 80
362 20137 27
362 47946 62
363 4530 38
364 17454 6
365 22408 52
365 25647 22
365 76112 67
366 96105 66
366 63419 40
367 68998 36
369 17630 77
370 59101 73
372 40479 73
373 9268 76
373 50287 67
373 95146 19
374 65198 16
374 990 55
376 99860 21
377 14488 84
377 85937 29
378 43004 17
378 8515 15
378 92434 65
380 68619 94
380 25910 61
381 33223 74
381 87706 48
382 26206 21
382 34942 83
383 75459 4
384 54494 1
384 37942 21
386 44191 17
386 44796 45
386 5749 21
387 31996 99
387 27085 82
387 78787 7
387 7253 66
388 78311 89
388 89467 41
389 99822 84
391 55122 76
391 61339 39
391 99878 21
392 34789 6
393 58683 76
394 20854 17
395 21107 60
395 51957 49
395 95709 16
395 58157 38
398 46920 83
399 57640 99
400 64438 7
400 49449 63
401 1965 87
401 28110 54
402 62009 52
402 58574 61
403 69302 19
403 4991 9
404 16864 30
407 99569 5
408 13416 33
408 16172 79
410 81598 64
