10000 29994
1 2 50
1 1020 98
2 3 16
2 2964 83
2 3062 58
2 1041 75
2 6443 4
3 4 62
3 6957 69
4 5 64
4 4403 71
4 672 44
4 3308 71
4 7048 46
5 6 38
5 6730 83
6 7 100
7 8 99
7 6311 64
7 6150 14
8 9 44
8 3505 31
8 3783 2
9 10 1
10 11 4
10 1980 4
10 1985 2
11 12 93
11 902 58
11 6501 35
11 8241 23
11 7292 50
12 13 44
12 5775 11
12 5915 92
12 8347 78
13 14 8
13 5248 56
13 4848 20
13 9900 81
14 15 7
14 5960 18
14 4512 5
15 16 88
15 8216 7
15 9873 29
16 17 69
17 18 40
17 6562 49
17 9194 75
18 19 51
19 20 65
19 1346 22
19 3650 13
20 21 76
20 8223 50
20 1018 67
20 8266 2
21 22 27
21 8629 100
21 2829 70
21 1449 47
21 8341 43
22 23 60
22 5948 77
22 5429 92
23 24 37
23 3788 89
23 7265 39
24 25 83
24 675 21
24 4069 11
24 8655 70
24 1544 50
24 5595 66
25 26 62
26 27 35
26 698 59
26 6937 16
26 1122 29
27 28 50
27 9287 55
28 29 51
28 6730 30
28 6769 23
29 30 19
29 9899 46
30 31 11
30 4300 74
31 32 19
31 4937 79
31 59 42
31 4799 84
32 33 66
32 6365 4
32 241 12
33 34 2
34 35 39
34 6721 88
34 4436 86
34 1880 95
35 36 22
36 37 31
36 6199 1
36 3011 43
36 570 100
37 38 90
37 6159 26
37 4920 8
37 7335 77
37 783 93
38 39 63
38 8919 24
38 9649 47
39 40 87
39 5455 51
39 6386 38
40 41 78
40 5701 48
40 4804 4
40 3254 15
41 42 64
41 6112 53
41 1754 17
42 43 5
43 44 51
43 7241 78
43 3303 21
44 45 90
44 3303 15
45 46 35
45 3919 99
46 47 63
46 2726 96
46 4035 88
46 598 43
46 5251 76
46 7170 91
47 48 7
48 49 1
48 9316 86
48 4649 61
49 50 21
50 51 57
50 3644 68
50 1843 27
50 4262 62
51 52 48
51 1190 37
51 6405 8
52 53 94
52 6432 22
52 9730 36
52 9033 93
53 54 79
53 4552 92
54 55 9
54 332 43
54 8879 2
54 6950 77
55 56 6
56 57 89
56 6237 16
56 5696 97
56 827 35
57 58 96
57 9157 90
57 845 70
57 781 60
58 59 4
58 2505 94
59 60 78
59 8480 25
59 4460 72
59 31 49
60 61 57
60 6953 43
60 654 27
60 3658 60
61 62 88
61 1073 75
62 63 49
62 8055 81
62 515 6
63 64 35
64 65 3
64 7254 72
64 4073 76
64 5366 5
64 9936 29
64 2133 65
64 698 95
65 66 7
65 528 97
65 1418 60
65 2028 64
65 9350 60
66 67 83
66 1124 10
66 1466 44
67 68 95
67 8892 64
68 69 71
68 4424 73
68 5547 9
68 2869 60
69 70 69
70 71 37
70 4157 67
70 2347 98
70 2608 90
71 72 93
71 4288 63
71 9938 68
71 4467 94
71 4854 87
72 73 25
72 4647 44
73 74 97
73 3635 95
74 75 9
74 2848 38
74 1587 16
74 7183 100
74 6982 10
75 76 92
75 1191 81
76 77 55
76 8453 86
76 9643 50
76 82 45
77 78 1
77 410 25
77 8385 57
78 79 48
78 9001 7
78 1777 1
79 80 2
79 8950 90
80 81 42
80 8803 10
80 2417 83
81 82 52
81 8598 2
81 4125 92
81 8749 37
81 415 72
81 1913 32
82 83 23
82 76 15
82 2173 38
83 84 29
83 4811 61
83 9524 6
84 85 67
84 3980 32
84 203 81
84 3864 84
85 86 50
85 2594 70
85 3996 59
85 4407 37
86 87 7
86 4088 40
86 6551 65
86 4120 48
87 88 75
87 8966 14
88 89 70
88 7206 77
89 90 87
89 8639 18
90 91 35
91 92 18
91 7120 87
91 8150 29
92 93 14
92 5943 20
