10000 9999
1 1813 7
1 6701 49
1 3116 14
5 124 99
5 1090 93
6 3643 46
6 601 78
8 6010 12
10 2398 13
10 999 55
11 8265 15
13 1790 23
13 2279 59
14 6379 50
16 8132 42
17 7642 37
19 5616 4
20 4733 51
21 3623 51
25 9140 54
25 9742 95
26 2094 92
27 6848 90
27 7286 70
29 3028 13
29 8240 41
29 8439 16
32 8337 24
33 4786 67
34 1897 43
34 9508 80
34 4947 71
35 3465 45
37 6042 57
37 6871 80
38 2274 19
38 7382 63
39 8792 8
39 3743 22
40 4913 1
40 9848 49
40 2370 29
43 3168 82
43 5621 19
45 783 28
45 7683 49
46 5652 95
46 6978 22
47 1021 85
48 8763 4
49 1942 85
49 9068 54
51 840 62
52 4484 2
52 8223 21
53 3868 4
57 850 65
61 5653 72
61 8010 83
63 8449 36
66 4979 75
66 8589 22
66 3543 80
67 4787 51
69 3439 37
70 5155 73
70 3188 58
70 1539 57
71 522 1
71 8414 45
72 2492 36
74 5636 50
74 8992 37
75 5308 71
75 6567 8
75 8615 35
75 7407 28
77 2524 22
77 9714 63
80 5587 92
82 6307 6
83 1781 85
84 2238 71
85 1332 94
86 4190 1
88 2017 2
89 3710 13
91 8373 26
91 4689 18
92 7487 87
93 5910 25
97 2347 2
97 6966 36
99 6600 88
100 7855 32
101 1135 23
101 5045 66
101 7131 41
103 6004 79
105 9480 31
106 3107 15
107 2075 82
108 3518 41
109 9847 44
110 6468 69
111 6246 10
114 4880 48
116 8661 60
118 4393 53
118 9926 83
119 7734 55
119 9501 32
120 1304 10
120 1440 70
120 7970 41
120 9425 73
121 5750 68
123 5398 15
123 8749 21
126 2634 89
129 2356 100
129 9910 28
130 5698 69
131 3533 43
131 4919 86
132 7033 99
133 527 14
133 9423 70
135 5763 65
135 2163 88
136 2862 67
139 4255 41
140 9980 55
141 4149 81
142 3033 40
142 9199 75
142 1705 66
144 1924 22
146 3530 30
148 9924 73
149 3775 16
149 7335 37
150 3447 12
151 1720 19
151 7217 19
154 2226 80
155 5166 73
157 1039 62
157 4807 92
157 1710 23
161 8301 10
162 3979 85
163 1380 61
164 8123 10
164 8421 16
168 922 17
168 2433 48
169 1468 99
169 7492 75
170 7332 72
171 4682 74
171 8716 6
171 1459 38
171 1757 51
172 1229 77
172 3030 27
173 2326 62
173 1898 49
173 1211 65
173 1722 63
174 1147 7
174 5740 10
175 9646 30
176 2664 64
177 6287 5
177 5787 93
178 8326 95
179 1936 91
179 8100 81
181 9434 74
182 9511 1
184 7700 65
184 4628 90
186 9290 60
