25000 74994
1 2 18
1 3114 58
1 17012 31
2 3 5
2 15882 56
2 6244 71
3 4 28
3 11930 57
4 5 84
4 1598 71
4 16971 13
4 24496 94
5 6 19
5 20710 11
5 2413 86
6 7 6
6 24278 46
6 24003 9
7 8 40
7 3245 8
8 9 5
8 23177 20
9 10 92
9 15574 12
9 13092 89
10 11 100
10 4283 33
11 12 67
11 8360 27
12 13 63
12 20440 7
12 20773 79
13 14 14
13 20795 82
14 15 48
14 3014 100
14 3906 50
14 20820 10
15 16 30
15 16818 60
16 17 37
16 6832 52
16 12604 75
16 3764 94
16 24568 96
17 18 73
17 14740 26
18 19 26
18 20615 50
19 20 35
19 21183 26
19 11605 23
20 21 54
20 20854 77
20 14512 86
21 22 67
21 421 34
22 23 1
22 23520 52
22 20901 35
22 14711 19
23 24 29
23 22443 45
23 10584 48
24 25 12
24 24202 74
24 17872 9
25 26 64
25 1553 76
25 163 2
25 1687 68
26 27 28
26 3700 73
26 16146 44
26 20038 52
26 1658 19
26 19618 97
27 28 90
27 5852 54
27 24547 16
27 10428 36
28 29 3
28 17305 20
28 12762 64
29 30 100
29 15749 79
29 9597 76
30 31 98
30 2235 23
31 32 5
31 5923 74
31 1908 52
31 20554 65
31 17161 94
32 33 31
32 21032 97
32 2603 40
32 899 49
33 34 64
33 20198 94
33 6945 47
33 2781 54
33 2489 19
34 35 76
34 9839 7
34 24457 7
34 23852 74
35 36 32
35 15985 65
36 37 71
36 15150 70
37 38 51
37 21239 3
38 39 73
38 18733 74
39 40 92
40 41 11
40 1991 75
41 42 100
41 23625 84
41 16040 84
42 43 91
42 13469 31
43 44 72
43 24860 1
43 19056 58
44 45 95
44 11091 60
44 18063 70
44 4214 29
45 46 96
46 47 92
46 21268 27
47 48 52
47 12433 67
47 21493 77
47 12582 83
48 49 86
49 50 97
49 830 72
50 51 60
50 7427 82
50 10472 83
50 6226 28
51 52 94
51 15598 9
51 18209 69
51 17995 42
51 23262 2
52 53 15
52 868 77
52 9334 55
53 54 37
53 394 59
53 15495 36
54 55 11
55 56 75
55 17776 43
56 57 92
56 16805 11
56 7743 67
56 667 96
56 20472 20
56 19789 46
56 19213 40
57 58 77
57 22204 9
57 16820 60
57 20007 74
57 24604 80
58 59 34
59 60 68
59 23074 90
59 11423 16
60 61 56
60 14214 95
60 21753 89
60 1327 22
61 62 98
62 63 82
62 22529 77
62 2686 12
63 64 29
63 7284 16
64 65 72
64 8328 42
64 23816 88
64 6069 38
65 66 37
65 15694 4
66 67 77
66 24692 53
66 15904 10
66 12047 78
67 68 37
67 14288 16
67 6256 3
68 69 1
68 6347 83
68 605 50
68 22692 64
68 24346 68
68 3962 13
69 70 71
69 4343 31
70 71 88
70 13591 25
71 72 53
71 9683 61
71 11419 26
71 16670 93
71 10856 45
72 73 54
72 4477 90
73 74 74
73 2484 19
73 373 77
74 75 35
75 76 92
75 12578 84
75 654 30
75 12460 89
76 77 19
76 20504 36
77 78 51
77 23561 100
77 10464 90
78 79 74
78 17476 29
79 80 95
79 9208 89
80 81 16
80 19739 69
80 2593 40
81 82 49
81 9747 99
81 21536 75
81 15860 91
81 4750 22
82 83 54
82 13349 38
83 84 12
84 85 87
84 24483 14
84 9325 87
84 11809 82
85 86 94
85 7464 83
85 16895 72
85 2691 40
86 87 86
86 21659 4
87 88 30
87 8875 41
88 89 76
88 24528 40
89 90 41
89 17556 41
89 15161 23
90 91 67
90 4335 94
90 23020 31
91 92 74
91 24898 54
92 93 55
92 13440 22
92 20886 49
93 94 62
93 9602 47
94 95 77
94 13653 64
94 2637 88
94 5458 65
94 17725 92
94 24491 35
94 5058 11
95 96 83
95 3889 50
96 97 2
96 18232 17
96 8370 59
97 98 12
97 12831 52
98 99 86
98 4710 23
99 100 26
99 12639 1
99 20992 33
100 101 66
100 14672 88
100 8509 34
101 102 100
102 103 86
102 6431 70
102 9552 29
102 3322 38
103 104 42
103 14830 17
103 13460 96
104 105 50
104 13973 75
104 11498 19
104 18872 65
104 11393 56
105 106 98
106 107 22
106 8001 90
107 108 93
107 3780 44
107 2566 4
107 5836 81
108 109 7
108 5779 96
108 3998 87
109 110 87
109 24819 13
109 3469 53
110 111 16
110 509 98
110 3699 8
111 112 58
111 1443 94
111 20644 89
112 113 60
112 16682 89
113 114 84
114 115 6
114 22867 96
115 116 15
115 14181 91
115 18256 21
116 117 76
116 5910 72
116 22144 81
116 10140 79
117 118 47
117 1540 87
118 119 62
119 120 18
119 19684 67
119 14308 51
120 121 15
120 23128 18
120 20387 31
121 122 57
122 123 44
122 14941 9
122 19280 75
123 124 36
123 9322 57
123 18257 68
124 125 34
124 6766 77
125 126 8
125 3083 2
125 10738 38
125 23392 28
126 127 91
126 9632 90
126 22424 56
127 128 56
127 21807 86
128 129 11
128 19207 75
128 18165 49
128 607 39
129 130 83
129 12736 78
129 7657 86
130 131 74
130 1689 11
130 1830 42
131 132 7
131 11476 42
131 1293 48
132 133 97
132 2041 36
132 283 45
132 21241 33
133 134 65
133 19898 5
133 19901 41
133 3723 85
134 135 62
134 7009 26
134 21740 6
134 17405 39
134 6241 35
135 136 100
135 1123 24
136 137 71
136 17861 21
136 14735 81
136 10378 79
136 24409 32
137 138 60
137 8817 57
138 139 6
138 17866 64
139 140 35
139 15596 47
139 8566 65
140 141 14
