2000 10000
1 2 52
1 936 46
1 489 71
1 355 34
1 572 73
2 3 8
2 1171 91
2 1086 100
2 114 32
2 1995 68
3 4 95
3 571 95
3 337 21
3 1181 87
3 1920 17
4 5 31
4 1544 36
5 6 72
5 115 25
5 1745 50
5 451 56
5 695 2
6 7 9
6 663 58
6 251 94
6 288 98
7 8 52
7 1736 23
7 930 12
7 1635 100
7 395 82
8 9 56
8 200 80
8 85 18
8 1450 91
8 252 13
8 1610 30
8 1757 6
8 1323 31
9 10 79
9 220 11
9 1342 15
9 717 59
10 11 51
10 669 19
10 141 74
11 12 36
11 586 14
11 943 74
12 13 23
13 14 33
13 1056 93
13 1443 44
13 162 37
13 112 43
13 1906 89
13 117 12
14 15 60
14 737 49
14 1183 20
14 232 74
15 16 10
15 1426 33
15 229 100
15 1334 54
15 1294 88
16 17 33
16 1703 65
16 412 64
16 68 27
16 282 47
16 1768 61
16 1838 62
17 18 14
17 972 82
17 332 9
17 1048 43
17 146 24
18 19 66
18 1164 42
19 20 99
19 638 73
19 912 69
19 1484 88
19 364 48
19 1352 57
20 21 73
20 1004 32
20 690 21
20 76 74
20 1491 24
21 22 84
21 395 1
21 1143 31
21 1778 36
22 23 54
22 1433 72
22 69 43
22 1641 69
23 24 1
24 25 67
24 1625 91
24 72 40
24 1444 19
24 1967 78
24 1762 10
24 1031 48
24 383 33
25 26 95
25 1183 64
25 1209 100
25 967 73
26 27 6
26 1921 56
26 654 93
26 265 73
26 778 61
26 84 61
26 242 79
27 28 48
27 1390 5
27 7 62
27 1486 45
27 1181 69
28 29 77
28 1942 8
28 1338 100
28 936 39
29 30 52
29 1731 98
29 462 23
29 463 45
29 883 48
30 31 31
30 1822 86
30 1633 75
31 32 10
31 1022 88
31 105 20
31 96 90
32 33 81
32 455 26
32 832 74
32 1073 24
32 205 11
33 34 40
33 1460 71
33 662 93
33 1763 12
33 1295 14
33 1418 94
33 1699 25
33 848 95
33 268 98
33 1036 68
33 1738 79
33 1378 60
33 633 68
34 35 80
34 1055 51
34 1065 71
34 342 22
35 36 17
35 1938 89
35 383 48
36 37 19
36 1105 44
36 1694 17
36 1844 90
37 38 29
37 1457 16
37 1349 55
37 729 55
37 1949 78
37 1368 9
37 1881 37
37 1143 34
38 39 78
38 1401 15
38 1961 22
38 1631 65
38 1715 23
38 1993 95
39 40 55
39 201 99
39 1479 25
39 1141 27
39 314 8
40 41 87
40 894 59
40 1831 96
41 42 62
41 932 38
41 79 41
41 640 6
41 270 89
42 43 41
42 646 50
42 756 88
43 44 1
43 1908 39
43 1158 64
43 264 87
43 60 12
43 28 18
43 1611 21
43 1967 86
43 858 84
44 45 45
44 219 66
44 678 3
44 430 5
44 112 62
44 1858 23
44 1836 48
45 46 72
45 1656 22
46 47 65
46 950 71
46 1994 25
46 1545 19
46 891 92
46 1755 5
47 48 53
47 919 21
47 1397 90
47 1423 17
48 49 90
48 953 78
48 1402 67
48 1738 74
48 1822 99
48 1574 11
49 50 32
49 1023 54
49 355 23
49 1694 5
49 1181 29
49 921 87
50 51 14
50 961 47
50 1221 37
50 1876 63
50 315 87
51 52 39
51 1471 70
51 1169 38
51 875 71
51 1026 1
51 1367 50
51 694 56
51 1251 57
52 53 46
52 1772 44
52 1398 22
52 1711 85
52 831 92
52 1825 74
53 54 21
53 175 43
53 1382 71
53 1400 98
53 837 41
54 55 82
54 1364 58
55 56 45
55 994 88
55 1382 74
55 1633 3
55 293 70
55 1437 81
56 57 91
56 1943 53
56 1597 51
56 1478 11
56 981 56
56 893 79
56 628 81
56 1163 84
56 1809 11
56 1699 36
57 58 66
57 1639 62
57 1158 73
57 1885 80
57 634 10
57 1751 5
58 59 44
58 635 76
58 1190 20
59 60 35
59 1626 65
59 1709 95
59 1897 52
59 1325 4
59 1366 63
60 61 49
60 1754 62
60 1125 30
61 62 73
61 700 37
61 1959 80
61 1061 6
61 449 14
61 108 85
62 63 99
62 774 23
62 310 4
63 64 43
63 1571 20
63 137 3
63 975 51
64 65 58
64 1345 62
64 1220 48
64 951 46
64 506 57
65 66 42
65 655 60
65 373 5
65 1354 9
65 1664 55
66 67 8
66 590 72
66 1787 77
66 1572 35
66 1009 51
67 68 12
67 1601 60
67 363 22
67 287 22
68 69 40
68 1171 17
68 48 83
68 1845 59
68 704 41
69 70 61
69 1666 74
69 1453 65
69 779 59
69 1254 30
69 1680 92
70 71 34
70 274 40
70 432 64
