100 300
1 2 78
1 15 66
1 97 41
1 66 75
2 3 66
2 32 65
3 4 92
3 82 60
4 5 25
4 65 29
5 6 1
5 2 56
5 40 39
5 1 55
5 46 64
6 7 77
6 50 70
7 8 85
7 80 49
7 39 20
8 9 45
9 10 45
9 63 64
9 60 57
9 96 3
10 11 53
10 21 87
10 87 3
11 12 35
11 86 32
11 78 78
12 13 67
12 75 73
12 14 44
13 14 85
14 15 86
15 16 24
15 100 46
15 14 64
16 17 41
16 36 44
17 18 5
17 28 86
17 78 21
18 19 13
18 53 11
19 20 24
19 6 33
20 21 47
20 81 25
20 96 50
20 86 97
21 22 17
21 27 70
21 64 20
22 23 2
22 72 98
22 49 88
22 60 9
22 65 23
22 31 92
23 24 91
23 28 60
23 81 4
23 13 87
24 25 48
24 15 62
25 26 14
25 100 10
25 9 14
25 6 79
25 47 91
26 27 54
26 69 70
26 2 89
26 16 32
27 28 18
27 21 75
27 98 88
28 29 54
28 4 44
29 30 74
29 92 39
29 87 44
29 95 18
30 31 97
30 94 58
31 32 82
31 44 94
31 13 35
32 33 54
32 90 19
32 2 69
33 34 95
33 29 20
33 50 20
33 57 81
33 83 16
34 35 18
34 71 86
34 62 90
34 18 11
35 36 17
36 37 87
36 14 30
37 38 79
37 71 48
38 39 57
38 20 73
38 69 46
39 40 15
39 93 26
39 16 17
39 25 16
39 22 29
40 41 83
40 95 39
40 25 58
40 32 10
41 42 67
41 27 84
41 19 78
41 1 20
41 53 44
42 43 26
42 9 40
42 13 57
42 57 2
43 44 65
43 5 80
44 45 60
44 49 93
45 46 39
45 94 59
45 38 89
45 97 89
45 75 76
46 47 31
47 48 47
47 28 53
47 11 13
47 57 56
47 8 94
48 49 64
48 99 72
48 9 47
49 50 52
49 76 71
49 83 84
49 22 11
50 51 82
50 76 77
50 66 47
50 14 54
50 64 58
51 52 100
51 79 60
51 13 47
51 69 97
52 53 10
52 64 54
53 54 94
53 50 50
53 57 26
54 55 83
54 6 18
55 56 42
55 63 32
55 27 44
55 32 14
55 89 37
55 19 48
56 57 64
56 62 20
57 58 89
57 28 93
58 59 9
58 35 13
59 60 46
59 53 5
59 25 64
60 61 85
60 43 57
60 28 65
61 62 54
61 4 41
61 63 45
62 63 22
62 47 85
62 45 10
63 64 77
63 47 36
64 65 14
64 83 85
64 1 76
65 66 14
65 21 95
66 67 64
66 33 42
66 8 49
66 11 4
67 68 19
67 56 18
67 33 48
68 69 72
68 73 83
69 70 100
69 54 34
69 50 62
69 53 50
70 71 17
70 38 89
70 31 92
70 80 3
70 26 95
71 72 32
71 97 44
71 80 56
72 73 51
72 61 50
72 38 48
73 74 88
73 41 2
74 75 52
75 76 65
75 53 44
75 23 81
75 56 1
76 77 78
76 2 13
76 72 96
77 78 16
77 2 46
77 38 6
77 74 69
78 79 75
78 83 95
79 80 61
79 35 61
79 93 40
80 81 47
80 73 95
80 2 52
81 82 1
81 99 33
82 83 33
82 51 50
83 84 81
83 2 58
83 95 18
83 8 54
83 44 4
84 85 17
84 45 92
84 60 55
84 19 35
85 86 69
85 88 77
86 87 64
86 62 18
86 4 50
87 88 76
87 60 47
87 94 46
87 12 42
88 89 7
88 54 38
88 48 18
89 90 52
90 91 65
90 66 84
90 13 91
91 92 44
91 17 3
92 93 41
92 30 45
92 61 91
92 67 23
93 94 60
93 64 97
94 95 53
94 26 11
95 96 58
95 68 9
96 97 81
96 88 56
96 85 58
97 98 51
97 50 66
97 14 19
97 28 7
98 99 12
98 42 43
99 100 52
99 18 29
99 49 86
99 1 21
100 85 86
100 80 47
100 51 40
